1975      .        .        .      0.089
1976      .        .        .      0.080
1977      103      110      .      0.100
1978      103      120      .      0.109
1979      105      125      .      0.090
1980      108      130      .      0.089
1981      110      140      .      0.096
1982      117      134      .      0.084
1983       84      120      .      0.086
1984      120      105      .      0.101
1985      133      129      .      0.084
1986      123      125      .      0.060
1987      170      180      .      0.064
1988      180      263      .      0.072
1989      204      185      .      0.076
1990      193      162      .      0.094
