1947	1685	4582  .  .
1948	3358	7204  .  .
1949	1839	5716  .  .
1950	1744	4000  .  .
1951	2093	2440  .  .
1952	969	2833  .  .
1956	486	2616  .  .
1957	822	4534  .  .
1961	344	3620  .  .
1962	1306	3850  .  .
1963	887	3538  .  .
1964	1053	2515  .  .
1965	993	3694  .  .
1966	727	1393  .  .
1967	1009	2083  .  .
1968	828	2378  .  .
1969	488	3394  .  .
1970	901	2702  .  .
1971	351	2630  .  .
1972	373	3261  .  .
1973	393	3131  .  .
1974	436	1066  .  .
1975	293	2813  .  .
1976	366	1819  .  .
1977	538	2909  .  .
1978	699	3292  .  .
1979	363	1868  .  .
1980	681	1462  .  .
1981	618	3616  .  .
1982	760	4015  .  .
1983	657	1688  .  .
1984	381	2289  .  .
1985	1378	5156  .  .
1986	3461	3484  .  .
1987	3899	6375  .  .
1988	1545	3358  .  .
1989	2164	2900  .  .
1990    5022    2365  .  .
