1964	    144		27.3           .            .
1965	    158		23.7           .            .
1966	    105		42.1           .            .
1967	    121		53.8           .            .
1968	     83		36.7           .            .
1969	    100		41.7           .            .
1970	    119		47.4           .            .
1971	    121		33.8           .            .
1972	    104		31.5           .            .
1973	     80		73.7           .            .
1974	    183		54.5           .            .
1975	    164		73.3           .            .
1976	    223		52.4           .            .
1977	    227		58.9           .            .
1978	    204		69.9           .            .
1979	    281		56.5           .            .
1980	    219		57.1           .            .
1981	    187		49.7           .            .
