 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
-------------+-----------------------------------------------------------+-------------------------------+-------------------
 BAUM        | Atlantic cod NAFO 5Z                                      | Gadus morhua                  | COD5Z
 BAUM        | Atlantic cod Gulf of Maine                                | Gadus morhua                  | CODGOM
 BAUM        | Haddock Georges Bank                                      | Melanogrammus aeglefinus      | HADGB
 BAUM        | Pacific cod Gulf of Alaska                                | Gadus macrocephalus           | PCODGA
 BAUM        | Summer flounder Mid-Atlantic Coast                        | Paralichthys dentatus         | SFLOUNMATLC
 BAUM        | Yellowtail flounder Georges Bank                          | Limanda ferruginea            | YELLGB
 BAUM        | Yellowtail Flounder Southern New England-Mid Atlantic     | Limanda ferruginea            | YELLSNEMATL
 BRANCH      | Arrowtooth flounder Pacific Coast                         | Reinhardtius stomias          | ARFLOUNDPCOAST
 BRANCH      | Black rockfish Northern Pacific Coast                     | Sebastes melanops             | BLACKROCKNPCOAST
 BRANCH      | Black rockfish Southern Pacific Coast                     | Sebastes melanops             | BLACKROCKSPCOAST
 BRANCH      | Blue rockfish California                                  | Sebastes mystinus             | BLUEROCKCAL
 BRANCH      | Bocaccio Southern Pacific Coast                           | Sebastes paucispinis          | BOCACCSPCOAST
 BRANCH      | Chilipepper Southern Pacific Coast                        | Sebastes goodei               | CHILISPCOAST
 BRANCH      | Cowcod Southern California                                | Sebastes levis                | COWCODSCAL
 BRANCH      | Canary rockfish Pacific Coast                             | Sebastes pinniger             | CROCKPCOAST
 BRANCH      | Darkblotched rockfish Pacific Coast                       | Sebastes crameri              | DKROCKPCOAST
 BRANCH      | English sole Pacific Coast                                | Parophrys vetulus             | ESOLEPCOAST
 BRANCH      | Longnose skate Pacific Coast                              | Raja rhina                    | LNOSESKAPCOAST
 BRANCH      | Pacific hake Pacific Coast                                | Merluccius productus          | PHAKEPCOAST
 BRANCH      | Pacific ocean perch Pacific Coast                         | Sebastes alutus               | POPERCHPCOAST
 BRANCH      | Sablefish Pacific Coast                                   | Anoplopoma fimbria            | SABLEFPCOAST
 BRANCH      | Shortbelly rockfish Pacific Coast                         | Sebastes jordani              | SBELLYROCKPCOAST
 BRANCH      | Widow rockfish Pacific Coast                              | Sebastes entomelas            | WROCKPCOAST
 BRANCH      | Yelloweye rockfish Pacific Coast                          | Sebastes ruberrimus           | YEYEROCKPCOAST
 COLLIE      | English sole Hecate Strait                                | Parophrys vetulus             | ESOLEHS
 COLLIE      | Pacific herring Central Coast                             | Clupea pallasii               | HERRCC
 COLLIE      | Pacific herring Prince Rupert District                    | Clupea pallasii               | HERRPRD
 COLLIE      | Pacific herring Queen Charlotte Islands                   | Clupea pallasii               | HERRQCI
 COLLIE      | Pacific herring Straight of Georgia                       | Clupea pallasii               | HERRSOG
 COLLIE      | Pacific herring West Coast of Vancouver Island            | Clupea pallasii               | HERRWCVANI
 COLLIE      | American lobster Rhode Island                             | Homarus americanus            | LOBSTERRI
 COLLIE      | Pacific cod Hecate Strait                                 | Gadus macrocephalus           | PCODHS
 COLLIE      | Pacific cod West Coast of Vancouver Island                | Gadus macrocephalus           | PCODWCVANI
 COLLIE      | Rock sole Hecate Strait                                   | Lepidopsetta bilineata        | RSOLEHSTR
 COLLIE      | Tautog Rhode Island                                       | Tautoga onitis                | TAUTOGRI
 COLLIE      | Winter flounder Rhode Island                              | Pseudopleuronectes americanus | WINFLOUNDRI
 de Moor     | Anchovy South Africa                                      | Engraulis encrasicolus        | ANCHOSA
 de Moor     | Sardine South Africa                                      | Sardinops sagax               | SARDSA
 FRANCIS     | Hoki Eastern New Zealand                                  | Macruronus novaezelandiae     | HOKIENZ
 FRANCIS     | Hoki Western New Zealand                                  | Macruronus novaezelandiae     | HOKIWNZ
 FULTON      | Bight redfish Southeast Australia                         | Centroberyx gerrardi          | BIGHTREDSESSF
 FULTON      | Northern Australia brown tiger shrimp                     | Penaeus esculentus            | BTSHRIMPNAUST
 FULTON      | Deepwater flathead Southeast Australia                    | Platycephalus conatus         | DEEPFLATHEADSESSF
 FULTON      | common gemfish Southeast Australia                        | Rexea solandri                | GEMFISHSESSF
 FULTON      | Northern Australia grooved Tiger Prawn                    | Penaeus semisulcatus          | GTPRAWNNAUST
 FULTON      | Jackass morwong Southeast Australia                       | Nemadactylus macropterus      | MORWONGSESSF
 FULTON      | Orange roughy Cascade Plateau                             | Hoplostethus atlanticus       | OROUGHYCASCADE
 FULTON      | Orange roughy Southeast Australia                         | Hoplostethus atlanticus       | OROUGHYSESSF
 FULTON      | Australian rockling Great Australian Bight                | Genypterus blacodes           | PINKLINGGABSESSF
 FULTON      | Australian rockling Southeast Australia                   | Genypterus blacodes           | PINKLINGSESSF
 FULTON      | Silverfish Southeast Australia                            | Seriolella punctata           | SILVERFISHSESSF
 FULTON      | School whiting Southeast Australia                        | Sillago flindersi             | SWHITSESSF
 FULTON      | Tiger flathead Southeast Australia                        | Neoplatycephalus richardsoni  | TIGERFLATSESSF
 FULTON      | Blue Warehou Great Australian Bight                       | Seriolella brama              | WAREHOUGABSESSF
 FULTON      | Blue Warehou Southeast Australia                          | Seriolella brama              | WAREHOUSESSF
 GILROY      | Gulf menhaden Gulf of Mexico                              | Brevoortia patronus           | MENATGM
 HUTCHINGS   | Atlantic cod NAFO 4T                                      | Gadus morhua                  | COD4T
 JENNINGS    | Anchovy ICES VIII                                         | Engraulis encrasicolus        | ANCHOBAYB
 JENNINGS    | Whiting Northeast Atlantic                                | Micromesistius poutassou      | BWHITNEA
 JENNINGS    | Atlantic cod Baltic Areas 22 and 24                       | Gadus morhua                  | CODBA2224
 JENNINGS    | Atlantic cod Baltic Areas 25-32                           | Gadus morhua                  | CODBA2532
 JENNINGS    | Fourspotted megrim ICES VIIIc-IXa                         | Lepidorhombus boscii          | FMEG8c9a
 JENNINGS    | Greenland halibut Northeast Arctic                        | Reinhardtius hippoglossoides  | GHALNEAR
 JENNINGS    | Haddock Rockall Bank                                      | Melanogrammus aeglefinus      | HADROCK
 JENNINGS    | Haddock ICES VIIb-k                                       | Melanogrammus aeglefinus      | HADVIIb-k
 JENNINGS    | Hake Northeast Atlantic North                             | Merluccius merluccius         | HAKENRTN
 JENNINGS    | Hake Northeast Atlantic South                             | Merluccius merluccius         | HAKESOTH
 JENNINGS    | Herring ICES 25-32                                        | Clupea harengus               | HERR2532
 JENNINGS    | Herring ICES 30                                           | Clupea harengus               | HERR30
 JENNINGS    | Herring ICES 31                                           | Clupea harengus               | HERR31
 JENNINGS    | Herring Iceland (Summer spawners)                         | Clupea harengus               | HERRIsum
 JENNINGS    | Herring Northern Irish Sea                                | Clupea harengus               | HERRNIRS
 JENNINGS    | Herring ICES 28                                           | Clupea harengus               | HERRRIGA
 JENNINGS    | Mackerel ICES Northeast Atlantic                          | Scomber scombrus              | MACKNEICES
 JENNINGS    | Megrim ICES VIIIc-IXa                                     | Lepidorhombus whiffiagonis    | MEG8c9a
 JENNINGS    | European Plaice ICES VIIe-k                               | Pleuronectes platessa         | PLAICCELT
 JENNINGS    | European Plaice ICES VIIe                                 | Pleuronectes platessa         | PLAICECHW
 JENNINGS    | European pilchard ICES VIIIc-IXa                          | Sardina pilchardus            | SARDPVIIIc-IXa
 JENNINGS    | common European sole Celtic Sea                           | Solea vulgaris                | SOLECS
 JENNINGS    | common European sole ICES Kattegat and Skagerrak          | Solea vulgaris                | SOLEIIIa
 JENNINGS    | common European sole Western English Channel              | Solea vulgaris                | SOLEVIIe
 JENNINGS    | common European sole Bay of Biscay                        | Solea vulgaris                | SOLEVIII
 JENNINGS    | Sprat ICES Baltic Areas 22-32                             | Sprattus sprattus             | SPRAT22-32
 JENNINGS    | Whiting ICES VIIe-k                                       | Merlangius merlangus          | WHITVIIek
 JENSEN      | Albacore tuna South Pacific Ocean                         | Thunnus alalunga              | ALBASPAC
 JENSEN      | Bigeye tuna Eastern Pacific                               | Thunnus obesus                | BIGEYEEPAC
 JENSEN      | Bigeye tuna Western Pacific Ocean                         | Thunnus obesus                | BIGEYEWPO
 JENSEN      | Gag Gulf of Mexico                                        | Mycteroperca microlepis       | GAGGM
 JENSEN      | Gag Southern Atlantic coast                               | Mycteroperca microlepis       | GAGSATLC
 JENSEN      | Greater amberjack Gulf of Mexico                          | Seriola dumerili              | GRAMBERGM
 JENSEN      | Greater amberjack Southern Atlantic coast                 | Seriola dumerili              | GRAMBERSATLC
 JENSEN      | Gray triggerfish Gulf of Mexico                           | Balistes capriscus            | GTRIGGM
 JENSEN      | King mackerel Gulf of Mexico                              | Scomberomorus cavalla         | KMACKGM
 JENSEN      | King mackerel Southern Atlantic Coast                     | Scomberomorus cavalla         | KMACKSATLC
 JENSEN      | Mutton snapper Southern Atlantic coast and Gulf of Mexico | Lutjanus analis               | MUTSNAPSATLCGM
 JENSEN      | Red porgy Southern Atlantic coast                         | Pagrus pagrus                 | RPORGYSATLC
 JENSEN      | Red grouper Gulf of Mexico                                | Epinephelus morio             | RSNAPGM
 JENSEN      | Red snapper Southern Atlantic coast                       | Lutjanus campechanus          | RSNAPSATLC
 JENSEN      | Skipjack tuna Central Western Pacific                     | Katsuwonus pelamis            | SKJCWPAC
 JENSEN      | Spanish mackerel Southern Atlantic Coast                  | Scomberomorus maculatus       | SPANMACKSATLC
 JENSEN      | Swordfish Mediterranean Sea                               | Xiphias gladius               | SWORDMED
 JENSEN      | Tasmanian giant crab Tasmania                             | Pseudocarcinus gigas          | TASGIANTCRABTAS
 JENSEN      | Vermilion snapper Gulf of Mexico                          | Rhomboplites aurorubens       | VSNAPGM
 JENSEN      | Yellowfin tuna Central Western Pacific                    | Thunnus albacares             | YFINCWPAC
 JENSEN      | Yellowfin tuna Eastern Pacific                            | Thunnus albacares             | YFINEPAC
 Johnston    | Cape horse mackerel South Africa South coast              | Trachurus capensis            | CTRACSA
 Johnston    | Southern spiny lobster South Africa South coast           | Palinurus gilchristi          | SSLOBSTERSASC
 LEGAULT     | Yellowtail flounder Cape Cod / Gulf of Maine              | Limanda ferruginea            | YELLCCODGOM
 MINTO       | Capelin Iceland                                           | Mallotus villosus             | CAPEICE
 MINTO       | Capelin Barents Sea                                       | Mallotus villosus             | CAPENOR
 MINTO       | Atlantic cod coastal Norway                               | Gadus morhua                  | CODCOASTNOR
 MINTO       | Atlantic cod Faroe Plateau                                | Gadus morhua                  | CODFAPL
 MINTO       | Atlantic cod Iceland                                      | Gadus morhua                  | CODICE
 MINTO       | Atlantic cod Irish Sea                                    | Gadus morhua                  | CODIS
 MINTO       | Atlantic cod Kattegat                                     | Gadus morhua                  | CODKAT
 MINTO       | Atlantic cod Northeast Arctic                             | Gadus morhua                  | CODNEAR
 MINTO       | Atlantic cod North Sea                                    | Gadus morhua                  | CODNS
 MINTO       | Atlantic cod West of Scotland                             | Gadus morhua                  | CODVIa
 MINTO       | Golden Redfish Northeast Arctic                           | Sebastes norvegicus           | GOLDREDNEAR
 MINTO       | Haddock Faroe Plateau                                     | Melanogrammus aeglefinus      | HADFAPL
 MINTO       | Haddock Iceland                                           | Melanogrammus aeglefinus      | HADICE
 MINTO       | Haddock Irish Sea                                         | Melanogrammus aeglefinus      | HADIS
 MINTO       | Haddock Northeast Arctic                                  | Melanogrammus aeglefinus      | HADNEAR
 MINTO       | Haddock ICES IIIa and North Sea                           | Melanogrammus aeglefinus      | HADNS-IIIa
 MINTO       | Haddock West of Scotland                                  | Melanogrammus aeglefinus      | HADVIa
 MINTO       | Herring ICES 22-24-IIIa                                   | Clupea harengus               | HERR2224IIIa
 MINTO       | Herring North Sea                                         | Clupea harengus               | HERRNS
