Assessid,Stockid,Large Marine Ecosystem,Scientific name,Fisheries stock,Bmsy,Btype,Comment,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Minimum
ICCAT-ALBANATL-1929-2005-WORM,ALBANATL,Atlantic High Seas,Thunnus alalunga,Albacore tuna North Atlantic,167000,Surplus production fit,,1.117,0.897,0.718,0.624,0.59,0.591,0.694,0.791,0.829,0.876,0.798,0.921,0.952,0.959,0.794,0.964,1.035,1.222,1.24,1.281,1.322,1.348,1.287,1.301,1.337,1.217,1.213,1.098,1.114,1.222,1.223,1.325,1.383,1.275,1.101,0.963,0.927,0.81,0.818,0.874,0.883,0.913,0.934,0.871,0.78,0.69,0.585,0.591,0.673,0.778,0.798,0.72,0.681,0.659,0.665,0.813,,,,0.585
ICCAT-ATBTUNAEATL-1979-2007-WORM,ATBTUNAEATL,Atlantic High Seas,Thunnus thynnus,Bluefin tuna Eastern Atlantic,495914.5,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,0.616,0.682,0.703,0.713,0.755,0.745,0.75,0.713,0.68,,0.625,0.59,0.612,0.577,0.572,0.589,0.578,0.555,0.569,0.586,0.555,0.585,0.622,0.65,0.667,0.674,0.656,0.636,0.633,0.643,0.625,0.582,0.558,0.509,0.474,0.417,0.383,0.336,,0.336
WGBFAS-CODBA2224-1969-2007-JENNINGS,CODBA2224,Baltic Sea,Gadus morhua,Atlantic cod Baltic Areas 22 and 24,115249,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,0.93,0.998,1,0.927,0.895,0.835,0.859,0.71,0.753,0.774,0.778,0.827,0.792,0.804,0.705,0.626,0.4,0.489,0.418,0.319,0.269,0.245,0.367,0.513,0.642,0.558,0.691,0.535,0.487,0.568,0.54,0.437,0.342,0.366,0.335,0.365,0.364,,,0.245
WGBFAS-CODBA2532-1964-2007-JENNINGS,CODBA2532,Baltic Sea,Gadus morhua,Atlantic cod Baltic Areas 25-32,1056900,Surplus production fit,,,,,,,,,,,,,,,,,,0.336,0.413,0.4,0.375,0.333,0.298,0.331,0.373,0.473,0.545,0.507,0.505,0.674,0.93,0.971,0.931,1,0.949,0.871,0.698,0.518,0.466,0.437,0.334,0.257,0.182,0.126,0.164,0.253,0.298,0.215,0.193,0.168,0.17,0.202,0.162,0.133,0.128,0.119,0.147,0.165,,,0.119
WGBFAS-HERR2532-1973-2006-JENNINGS,HERR2532,Baltic Sea,Clupea harengus,Herring ICES 25-32,1909190,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,1.535,1.395,1.314,1.302,1.3,1.178,1.155,1.305,1.325,1.135,1.061,0.965,0.831,0.86,0.83,0.844,0.773,0.753,0.693,0.653,0.647,0.57,0.496,0.435,0.406,0.337,0.392,0.377,0.408,0.516,0.506,0.569,0.687,,,0.337
WGBFAS-HERR30-1972-2007-JENNINGS,HERR30,Baltic Sea,Clupea harengus,Herring ICES 30,358191,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,0.547,0.601,0.611,0.651,0.624,0.532,0.46,0.394,0.41,0.359,0.441,0.599,0.683,0.693,0.851,0.921,1.18,1.337,1.403,1.468,1.5,1.495,1.341,1.287,1.171,1.165,1.024,1.076,0.98,1.158,1.383,1.368,1.313,1.193,,,0.359
WGBFAS-HERR31-1979-2006-JENNINGS,HERR31,Baltic Sea,Clupea harengus,Herring ICES 31,55207.4,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945,0.826,0.81,0.925,1,0.933,0.941,0.888,0.779,0.774,0.859,0.819,0.654,0.551,0.408,0.342,0.378,0.341,0.304,0.242,0.282,0.287,0.348,0.366,0.358,0.333,0.286,,,0.242
WGBFAS-HERRRIGA-1976-2007-JENNINGS,HERRRIGA,Baltic Sea,Clupea harengus,Herring ICES 28,117463,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653,0.564,0.563,0.592,0.558,0.62,0.649,0.562,0.657,0.734,0.822,0.977,0.72,1.147,1.163,1.367,1.434,1.396,1.371,1.39,1.117,1.011,1.161,1.142,1.361,1.262,1.332,1.037,1.088,1.208,,,0.558
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,SPRAT22-32,Baltic Sea,Sprattus sprattus,Sprat ICES Baltic Areas 22-32,1610160,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,1.244,0.863,1.243,0.89,0.592,0.432,0.322,0.406,0.45,1.055,0.751,0.617,0.449,0.486,0.35,0.531,0.708,0.845,1.153,1.273,1.276,1.894,1.75,1.581,1.446,1.194,1.315,1.074,0.953,0.94,1.437,1.223,1.129,,,0.322
AFWG-CODNEAR-1943-2006-MINTO,CODNEAR,Barents Sea,Gadus morhua,Atlantic cod Northeast Arctic,2604060,Surplus production fit,,1.087,1.206,1.309,1.366,1.551,1.34,1.225,0.958,0.831,0.928,0.788,0.821,0.752,0.671,0.528,0.553,0.844,1.095,1.301,1.077,0.79,0.619,0.623,0.922,0.859,0.782,0.742,0.749,0.605,0.428,0.332,0.378,0.288,0.284,0.314,0.368,0.497,0.432,0.352,0.342,0.37,0.6,0.734,0.906,0.828,0.701,0.648,0.588,0.472,0.422,0.422,0.529,0.595,0.619,0.603,0.596,0.562,,,0.284
AFWG-CAPENOR-1965-2007-MINTO,CAPENOR,Barents Sea,Mallotus villosus,Capelin Barents Sea,5200350,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,1.121,1.275,1.369,1.7,1.458,1.203,1.177,1.265,1.58,0.863,0.809,0.918,0.635,0.209,0.03,0.021,0.069,0.148,0.942,1.278,1.033,0.191,0.05,0.036,0.09,0.167,0.358,0.496,0.738,0.669,0.412,0.135,0.139,0.072,0.173,,,0.021
AFWG-GHALNEAR-1959-2007-JENNINGS,GHALNEAR,Barents Sea,Reinhardtius hippoglossoides,Greenland halibut Northeast Arctic,312342,Surplus production fit,,,,,,,,,,,,,,,,0.554,0.549,0.581,0.671,0.782,0.878,1,0.777,0.628,0.577,0.554,0.489,0.404,0.323,0.279,0.336,0.276,0.295,0.281,0.333,0.298,0.295,0.293,0.272,0.271,0.283,0.249,0.231,0.144,0.166,0.166,0.188,0.217,0.229,0.258,0.266,0.269,0.286,0.283,0.305,0.349,0.335,0.358,,,0.144
AFWG-HADNEAR-1947-2006-MINTO,HADNEAR,Barents Sea,Melanogrammus aeglefinus,Haddock Northeast Arctic,439097,Surplus production fit,,0.532,0.773,0.513,1.106,1.166,1.063,1.034,0.703,0.59,0.765,0.852,0.838,0.74,0.654,0.634,0.762,0.827,0.996,0.901,0.727,0.601,0.721,1.307,1.262,1.247,0.982,0.601,0.42,0.45,0.562,0.593,0.495,0.372,0.193,0.153,0.383,0.745,0.734,0.581,0.472,0.385,0.441,0.611,1.016,1.271,1.257,1.117,0.833,0.613,0.618,0.612,0.866,1.081,1.251,1.184,1.272,1.1,,,0.153
AFWG-POLLNEAR-1957-2006-MINTO,POLLNEAR,Barents Sea,Pollachius virens,Pollock Northeast Arctic,772345,Surplus production fit,,,,,,,,,,,,0.577,0.607,0.739,0.943,1.026,1.113,1.164,1.194,1.107,1.227,1.442,1.471,1.259,1.162,0.894,0.719,0.663,0.543,0.473,0.476,0.504,0.607,0.531,0.531,0.429,0.346,0.368,0.426,0.437,0.391,0.329,0.464,0.716,0.888,0.848,1.039,1.095,1.116,1.226,1.278,1.299,1.352,1.496,1.342,1.34,1.356,1.695,,,0.329
