scientificname,commonname
Centropomus,Snooks
Centropomus undecimalis,Common snook
Centropristis striata,Black seabass
Centroscyllium fabricii,Black dogfish
Centroscymnus coelolepis,Portuguese dogfish
Centroscymnus crepidater,Longnose velvet dogfish
Centroscymnus cryptacanthus,Shortnose velvet dogfish
Cephalopholis fulva,Coney
Cephalopoda,Cephalopods
Cephalorhynchus commersonii,Commersons dolphin
Cephalorhynchus eutropia,Black dolphin
Cephalorhynchus heavisidii,Heavisides dolphin
Cephalorhynchus hectori,Hectors dolphin
Cepola macrophthalma,Red bandfish
Cervimunida johni,Carrot Squat Lobster
Cetengraulis edentulus,Atlantic anchoveta
Cetengraulis mysticetus,Pacific anchoveta
Cetorhinus maximus,Basking shark
Chaenocephalus aceratus,Blackfin icefish
Chaenodraco wilsoni,Spiny icefish
Champsocephalus gunnari,Mackerel icefish
Channichthyidae,Crocodile icefishes
Channichthys rhinoceratus,Unicorn icefish
Charonia lampas rubicunda,Knobbed triton
Charybdis,Indo-Pacific swimming crabs
Cheilodactylus variegatus,Peruvian morwong
Cheilopogon agoo,Japanese flyingfish
Cheimerius nufar,Santer seabream
Chelidonichthys capensis,Cape gurnard
Chelidonichthys gurnardus,Grey gurnard
Chelidonichthys kumu,Bluefin gurnard
Chelidonichthys lastoviza,Streaked gurnard
Chelidonichthys lucerna,Tub gurnard
Chelidonichthys spinosus,Red gurnard
Chelon haematocheilus,So-iny `redlip` mullet
Chelon labrosus,Thicklip grey mullet
Chimaera monstrosa,Rabbit fish
Chione stutchburyi,Stutchbury`s venus
Chionodraco hamatus,Hooked icefish
Chionodraco rastrospinosus,Ocellated icefish
Chionoecetes,Pacific snow crabs
Chionoecetes opilio,Queen crab
Chirocentrus,Wolf herring
Chirocentrus dorab,Dorab wolf-herring
Chlamys islandica,Iceland scallop
Chlamys opercularis,Queen scallop
Chlamys varia,Variegated scallop
Chlorophthalmidae,Greeneyes
Chloroscombrus chrysurus,Atlantic bumper
Chloroscombrus orqueta,Pacific bumper
Choromytilus chorus,Choro mussel
Chrysoblephus,Seabreams
Chrysophrys auratus,Squirefish
Ciliata mustela,Fivebeard rockling
Citharichthys sordidus,Pacific sanddab
Clinocardium nuttallii,Nuttall cockle
Clupanodon thrissa,Chinese gizzard shad
Clupea harengus,Atlantic herring
Clupea harengus membras,Baltic herring
Clupea pallasii,Pacific herring
Clupeidae,Herrings/shads/sardines/menhadens
Clupeiformes,Herrings
Clupeoids,Herrings, sardines, anchovies
Clupeonella cultriventris,Black Sea sprat
Cololabis saira,Pacific saury
Concholepas concholepas,False abalone
Conger conger,European conger
Conger myriaster,Whitespotted conger
Conger oceanicus,American conger
Conger orbignyanus,Argentine conger
Congridae,Conger and garden eels
Conodon nobilis,Barred grunt
Coregonus,Whitefishes
Coregonus albula,Vendace
Coregonus lavaretus,Common whitefish
Coregonus oxyrinchus,Houting
Coris julis,Mediterranean rainbow wrasse
Coryphaena hippurus,Common dolphinfish
Coryphaenoides rupestris,Roundnose grenadier
Cottidae,Sculpins
Crangon,Sand shrimps
Crangon crangon,Common shrimp
Crangonidae,Crongonid shrimp
Crassostrea,Cupped oysters
Crassostrea gigas,Pacific cupped oyster
Crassostrea iredalei,Slipper cupped oyster
Crassostrea rhizophorae,Mangrove cupped oyster
Crassostrea virginica,American cupped oyster
Crustacea,Crustaceans
Ctenolabrus rupestris,Goldsinny-wrasse
Cyclopterus lumpus,Lumpsucker
Cymbium,Gondolas
Cynoglossidae,Tonguefishes
Cynoscion,Weakfishes
Cynoscion analis,Peruvian weakfish
Cynoscion nebulosus,Spotted weakfish
Cynoscion regalis,Gray weakfish
Cynoscion striatus,South American striped weakfish
Cystophora cristata,Hooded seal
Cyttus novaezealandiae,New Zealand dory
Cyttus traversi,King dory
Dalatias licha,Kitefin shark
Dasyatidae,Stingrays
Dasyatis,Stingrays
Dasyatis akajei,Red stingray
Dasyatis pastinaca,Common stingray
Deania calcea,Birdbeak dogfish
Decapterus,Scads
Decapterus maruadsi,Japanese scad
Decapterus russelli,Indian scad
Delphinapterus leucas,Beluga or white whale
Delphinus capensis,Long-beaked common dolphin
Delphinus delphis,Short beaked common dolphin
Delphinus tropicalis,Arabian common dolphin
Dentex,Seabreams (Dentex spp)
Dentex angolensis,Angola dentex
Dentex congoensis,Congo dentex
Dentex dentex,Common dentex
Dentex macrophthalmus,Large-eye dentex
Diastobranchus capensis,Basketwork eel
Dicentrarchus,European/spotted seabass
Dicentrarchus labrax,European seabass
Dicentrarchus punctatus,Spotted seabass
Dicologlossa cuneata,Wedge sole
Diplectrum formosum,Sand seabass
Diplodus,Seabreams and porgies
Diplodus annularis,Annular seabream
Diplodus argenteus,South American silver porgy
Diplodus cervinus,Zebra seabream
Diplodus puntazzo,Sharpsnout seabream
Diplodus sargus,White seabream
Diplodus vulgaris,Common two-banded seabream
Dipturus batis,Blue skate
Dipturus laevis,Barndoor skate
Dipturus linteus,Sailray
Dipturus nasutus,New Zealand rough skate
Dipturus oxyrinchus,Longnosed skate
Dissostichus,Toothfishes
Dissostichus eleginoides,Patagonian toothfish
Dissostichus mawsoni,Antarctic toothfish
Donax,Donax clams
Dorosoma cepedianum,American gizzard shad
Dosidicus gigas,Jumbo flying squid
Dussumieria acuta,Rainbow sardine
Dussumieria elopsoides,Slender rainbow sardine
Echeneidae,Remoras
Echinoidea,Sea urchins
Echinorhinus brucus,Bramble shark
Echinus esculentus,European edible sea urchin
Elagatis bipinnulata,Rainbow runner
Elasmobranchii,Sharks and rays
Electrona carlsbergi,Carlberg`s lanternfish
Eledone,Horned and musky octopuses
Eledone cirrhosa,Horned octopus
Eleginops maclovinus,Patagonian blennie
Eleginus gracilis,Saffron cod
Eleginus navaga,Navaga
Eleutheronema tetradactylum,Fourfinger threadfin
Elops lacerta,West African ladyfish
Elops saurus,Ladyfish
Emmelichthyidae,Rovers
Emmelichthys nitidus,Redbait
Engraulidae,Anchovies
Engraulis anchoita,Argentine anchoita
Engraulis capensis,Cape anchovy
Engraulis encrasicolus,European anchovy
Engraulis japonicus,Japanese anchovy
Engraulis mordax,Californian anchovy
Engraulis ringens,Anchoveta
Ensis directus,Atlantic razor clam
Eopsetta jordani,Petrale sole
Ephippidae,Spadefishes, batfishes and scats
Epigonus,Cardinalfishes
Epigonus telescopus,Bulls-eye
Epinephelus,Groupers
Epinephelus aeneus,White grouper
Epinephelus analogus,Spotted grouper
Epinephelus coioides,Orange-spotted grouper
Epinephelus fasciatus,Blacktip grouper
Epinephelus flavolimbatus,Yellowedge grouper
Epinephelus goreensis,Dungat grouper
Epinephelus guttatus,Red hind
Epinephelus marginatus,Dusky grouper
Epinephelus morio,Red grouper
Epinephelus nigritus,Warsaw grouper
Epinephelus niveatus,Snowy grouper
Epinephelus striatus,Nassau grouper
Epinephelus tauvina,Greasy grouper
Erignathus barbatus,Bearded seal
Erimacrus isenbeckii,Hair crab
Eschrichtius robustus,Gray whale
Ethmalosa fimbriata,Bonga shad
Ethmidium maculatum,Pacific menhaden
Etmopterus,Lanternsharks
Etmopterus spinax,Velvet belly lantern shark
Etrumeus teres,Round herring
Etrumeus whiteheadi,Whiteheads round herring
Eubalaena australis,Southern right whale
Eubalaena glacialis,North Atlantic right whale
Eumetopias jubatus,Stellers sea lion
Euphausia superba,Antarctic krill
Euthynnus affinis,Kawakawa
Euthynnus alletteratus,Little tunny
Euthynnus lineatus,Black skipjack
Exocoetidae,Flyingfishes
Feresa attenuata,Pygmy killer whale
Fistularia tabacaria,Cornet fish
Gadiformes,Cods
Gadus macrocephalus,Pacific cod
Gadus morhua,Atlantic cod
Gadus ogac,Greenland cod
Gaidropsarus,Rocklings
Galatheidae,Squat lobsters
Galeichthys feliceps,White baggar
Galeocerdo cuvier,Tiger shark
Galeoides decadactylus,Lesser African threadfin
Galeorhinus galeus,Tope shark
Galeus,Catsharks
Galeus melastomus,Blackmouth catshark
Gastropoda,Gastropods
Gempylidae,Snake mackerels
Genyonemus lineatus,White croaker
Genypterus,Cusk eels
Genypterus blacodes,Pink cusk-eel
Genypterus capensis,Kingklip
Genypterus chilensis,Red cusk-eel
Genypterus maculatus,Black cusk-eel
Gerreidae,Mojarras
Gerres,Silver biddies
Gerres nigri,Guinean striped mojarra
Geryon,Deepsea crabs
Geryon quinquedens,Red crab
Ginglymostoma cirratum,Nurse shark
Girella nigricans,Opaleye
Girella tricuspidata,Luderick
Globicephala macrorhynchus,Short-finned pilot whale
Globicephala melas,Long-finned pilot whale
Glossanodon semifasciatus,Deepsea smelt
Glycymeris glycymeris,Dog cockle
Glyptocephalus cynoglossus,Witch
Glyptocephalus zachirus,Rex sole
Gnathanodon speciosus,Golden trevally
Gobiidae,Gobies
Gobionotothen gibberifrons,Humped rockcod
Gobius,Gobies
Gobius niger,Black goby
Grampus griseus,Rissos dolphin
Gymnocranius,Large-eye breams
Gymnosarda unicolor,Dogtooth tuna
Gymnothorax unicolor,Brown moray
Gymnura altavela,Spiny butterfly ray
Haemulidae,Grunts
Halichoerus grypus,Gray seal
Haliotis,Abalones
Haliotis gigantea,Giant abalone
Haliotis midae,Perlemoen abalone
Haliotis rubra,Blacklip abalone
Haliotis tuberculata,Tuberculate abalone
Haliporoides,Knife shrimps
Haliporoides diomedeae,Chilean nylon shrimp
Haliporoides sibogae,Jack-knife shrimp
Haliporoides triarthrus,Knife shrimp
Halobatrachus didactylus,Lusitanian toadfish
Harengula,Herring
Harpadon nehereus,Bombay duck
Helicolenus dactylopterus,Blackbelly rosefish
Hemiramphus,Halfbeaks
Hemiramphus brasiliensis,Ballyhoo
Herklotsichthys quadrimaculatus,Bluestripe herring
Heterocarpus reedi,Chilean nylon shrimp
Heterocarpus vicarius,Northern nylon shrimp
Hexanchus griseus,Bluntnose sixgill shark
Hilsa kelee,Kelee shad
Hippoglossoides elassodon,Flathead sole
Hippoglossoides platessoides,American plaice
Hippoglossus hippoglossus,Atlantic halibut
Hippoglossus stenolepis,Pacific halibut
Histriophoca fasciata,Ribbon seal
Holocentridae,Squirrelfishes, soldierfishes
Holocephali,Chimaeras, ratfish, rabbitfish
Holothuroidea,Sea cucumbers
Homaridae/Paniluridae,Lobsters, spiny-rock lobsters
Homarus americanus,American lobster
Homarus gammarus,European lobster
Hoplostethus atlanticus,Orange roughy
Hydrolagus,Chimaeras
Hydrolagus colliei,Spotted ratfish
Hydrolagus mirabilis,Large-eyed rabbitfish
Hydrolagus novaezealandiae,Dark ghost shark
Hydrurga leptonyx,Leopard seal
Hyperoglyphe antarctica,Antarctic butterfish
Hyperoglyphe bythites,Black driftfish
Hyperoodon ampullatus,Northern bottlenose whale
Hyperoodon planifrons,Southern bottlenose whale
Hypomesus pretiosus,Surf smelt
Hypoptychus dybowskii,Korean sandeel
Hyporhamphus ihi,Garfish
Hyporhamphus sajori,Japanese halfbeak
Ibacus ciliatus,Sand Crayfish
Ilisha africana,West African ilisha
Ilisha elongata,Elongate ilisha
Illex argentinus,Argentine shortfin squid
Illex coindetii,Broadtail shortfin squid
Illex illecebrosus,Northern shortfin squid
Indopacetus pacificus,Longmans beaked whale
Isacia conceptionis,Cabinza grunt
Istiophoridae,Billfishes
Istiophorus albicans,Atlantic sailfish
Istiophorus platypterus,Indo-Pacific sailfish
Isurus,Mako sharks
Isurus oxyrinchus,Shortfin mako
Isurus paucus,Longfin mako
Jasus edwardsii,Red rock lobster
Jasus frontalis,Juan Fernandez rock lobster
Jasus lalandii,Cape rock lobster
Jasus novaehollandiae,Southern rock lobster
Jasus paulensis,St.Paul rock lobster
Jasus tristani,Tristan da Cunha lobster
Jasus verreauxi,Green rock lobster
Joturus pichardi,Bobo mullet
Kathetostoma giganteum,Giant stargazer
Katsuwonus pelamis,Skipjack tuna
Kogia breviceps,Pygmy sperm whale
Kogia simus,Dwarf sperm whale
Konosirus punctatus,Konoshiro gizzard shad
Kyphosus,Sea chubs
Kyphosus cinerascens,Blue seachub
Labridae,Wrasses
Labrus bergylta,Ballan wrasse
Labrus merula,Brown wrasse
Lactarius lactarius,False trevally
Lagenodelphis hosei,Frasers dolphin
Lagenorhynchus acutus,Atlantic white-sided dolphin
Lagenorhynchus albirostris,White-beaked dolphin
Lagenorhynchus australis,Peales dolphin
Lagenorhynchus cruciger,Hourglass dolphin
Lagenorhynchus obliquidens,Pacific white-sided dolphin
Lagenorhynchus obscurus,Dusky dolphin
Lamna nasus,Porbeagle
Lampanyctodes hectoris,Hectors lanternfish
Lampris guttatus,Opah
Larimichthys croceus,Large yellow croaker
Larimichthys polyactis,Yellow croaker
Lateolabrax japonicus,Japanese seaperch
Lates calcarifer,Barramundi
Latridae,Trumpeters
Leiognathidae,Slimys, slipmouths, or ponyfishes
Leiognathus,Slipmouths
Leiostomus xanthurus,Spot croaker
Lepas,Goose barnacles
Lepidocybium flavobrunneum,Escolar
Lepidonotothen kempi,Striped-eye notothen
Lepidonotothen squamifrons,Grey rockcod
Lepidoperca pulchella,Orange perch
Lepidopsetta bilineata,Rock sole
Lepidopus caudatus,Silver scabbardfish
Lepidorhombus,Megrims
Lepidorhombus boscii,Fourspotted megrim
Lepidorhombus whiffiagonis,Megrim
Lepidorhynchus denticulatus,Thorntooth grenadier
Lepidotrigla cavillone,Large-scaled gurnard
Leptonychotes weddellii,Weddell seal
Lethrinidae,Emperors or scavengers
Lethrinus atlanticus,Atlantic emperor
Lethrinus nebulosus,Spangled emperor
Leucoraja circularis,Sandy ray
Leucoraja erinacea,Little skate
Leucoraja fullonica,Shagreen ray
Leucoraja naevus,Cuckoo ray
Lichia amia,Leerfish
Limanda aspera,Yellowfin sole
Limanda ferruginea,Yellowtail flounder
Limanda limanda,Dab
Limulus polyphemus,Horseshoe crab
Liocarcinus depurator,Blue-leg swimcrab
Lissodelphis borealis,Northern right whale dolphin
Lissodelphis peronii,Southern right whale dolphin
Lithodes aequispina,Same-spine stone crab
Lithodes antarcticus,Southern king crab
Lithodes maia,Stone king crab
Lithodidae,King crabs
Lithognathus,Steenbras
Lithognathus lithognathus,White steenbras
Lithognathus mormyrus,Striped seabream
Littorina,Periwinkles
Littorina littorea,Common periwinkle
Liza aurata,Golden grey mullet
Liza klunzingeri,Klunzingers mullet
Liza saliens,Leaping mullet
Lobodon carcinophagus,Crabeater seal
Lobotes surinamensis,Atlantic tripletail
Loliginidae,Common squids
Loligo,Common squids
Loligo forbesii,Veined Squid
Loligo gahi,Patagonian squid
Loligo opalescens,California market squid
Loligo pealeii,Longfin squid
Loligo vulgaris,Cape Hope squid
Lophiidae,Goosefishes
Lophius,Monkfishes
Lophius americanus,American angler
Lophius budegassa,Black-bellied angler
Lophius piscatorius,Angler
Lophius vaillanti,Shortspine African angler
Lophius vomerinus,Cape monk
Lopholatilus chamaeleonticeps,Great northern tilefish
Loxechinus albus,Chilean sea urchin
Lutjanidae,Snappers
Lutjanus,Snappers
Lutjanus argentimaculatus,Mangrove red snapper
Lutjanus argentiventris,Yellow snapper
Lutjanus campechanus,Northern red snapper
Lutjanus johnii,Johns snapper
Lutjanus malabaricus,Malabar blood snapper
Lutjanus purpureus,Southern red snapper
Lutjanus synagris,Lane snapper
Lycodes,Eelpouts
Macrodon ancylodon,King weakfish
Macroramphosidae,Snipefishes
Macroramphosus scolopax,Longspine snipefish
Macrouridae,Grenadiers or rattails
Macrourus,Grenadiers
Macrourus berglax,Onion-eye grenadier
Macrourus carinatus,Ridge scaled rattail
Macrourus holotrachys,Bigeye grenadier
Macrourus whitsoni,Whitson`s grenadier
Macruronus magellanicus,Patagonian grenadier
Macruronus novaezelandiae,Blue grenadier
Mactra sachalinensis,Hen clam
Mactridae,Mactra surf clams
Maja squinado,Spinous spider crab
Makaira indica,Black marlin
Makaira mazara,Indo-Pacific blue marlin
Makaira nigricans,Atlantic blue marlin
Malacanthidae,Tilefishes
Mallotus villosus,Capelin
Marine fishes not identified,Finfishes
Marine fishes not identified,Marine fishes
Marine fishes not identified,Groundfishes
Marine fishes not identified,Pelagic fishes
Martialia hyadesi,Sevenstar flying squid
Maurolicus muelleri,Pearlsides
Megabalanus psittacus,Giant barnacle
Megalaspis cordyla,Torpedo scad
Megalops atlanticus,Tarpon
Megalops cyprinoides,Indo-Pacific tarpon
Meganyctiphanes norvegica,Norwegian krill
Megaptera novaeangliae,Humpback whale
Melanogrammus aeglefinus,Haddock
Mene maculata,Moonfish
Menidia menidia,Atlantic silverside
Menippe mercenaria,Black stone crab
Menticirrhus,Kingcroakers
Menticirrhus littoralis,Gulf kingcroaker
Menticirrhus saxatilis,Northern kingcroaker
Mercenaria mercenaria,Northern quahog
Meretrix,Hard clams
Meretrix lusoria,Japanese hard clam
Merlangius merlangus,Whiting
Merluccius,Hakes
Merluccius angustimanus,Panama hake
Merluccius australis,Southern hake
Merluccius bilinearis,Silver hake
Merluccius capensis,Shallow-water Cape hake
Merluccius gayi gayi,South Pacific hake
Merluccius gayi peruanus,Peruvian hake
Merluccius hubbsi,Argentine hake
Merluccius merluccius,European hake
Merluccius polli,Benguela hake
Merluccius productus,North Pacific hake
Merluccius senegalensis,Senegalese hake
Mesodesma donacium,Macha clam
Mesoplodon bidens,Sowerbys beaked whale
Mesoplodon bowdoini,Andrews beaked whale
Mesoplodon carlhubbsi,Hubbs beaked whale
Mesoplodon densirostris,Blainvilles beaked whale
Mesoplodon europaeus,Gervais beaked whale
Mesoplodon ginkgodens,Ginkgo-toothed beaked whale
Mesoplodon grayi,Grays beaked whale
Mesoplodon hectori,Hectors beaked whale
Mesoplodon layardii,Strap-toothed whale
Mesoplodon mirus,Trues beaked whale
Mesoplodon perrini,Perrins beaked whale
Mesoplodon peruvianus,Pygmy beaked whale
Mesoplodon stejnegeri,Stejnegers beaked whale
Mesoplodon traversii,Spade-toothed beaked whale
Metanephrops,Lobsterette
Metanephrops andamanicus,Andaman lobster
Metanephrops challengeri,New Zealand lobster
Metanephrops mozambicus,Mozambique lobster
Metapenaeus,Metapenaeus shrimps
Metapenaeus endeavouri,Endeavour shrimp
Metapenaeus joyneri,Shiba shrimp
Metapenaeus monoceros,Speckled shrimp
Meuschenia scaber,Velvet leatherjacket
Microchirus,Iberian soles
Microchirus variegatus,Thickback sole
Microcosmus sulcatus,Grooved sea squirt
Microgadus proximus,Pacific tomcod
Microgadus tomcod,Atlantic tomcod
Micromesistius australis,Southern blue whiting
Micromesistius poutassou,Blue whiting
Micropogonias,Western croakers
Micropogonias furnieri,Whitemouth croaker
Micropogonias undulatus,Atlantic croaker
Microstomus kitt,Lemon sole
Microstomus pacificus,Dover sole
Miichthys miiuy,Mi-iuy croaker
Mirounga angustirostris,Northern elephant seal
Mirounga leonina,Southern elephant seal
Miscellaneous diadromous fishes,Diadromous fishes
Miscellaneous marine crustaceans,Marine crustaceans
Miscellaneous marine molluscs,Marine molluscs
Mithrax armatus,Armored spider crab
Modiolus,Horse mussels
Mola mola,Ocean sunfish
Molva,Lings
Molva dypterygia,Blue ling
Molva molva,Ling
Monacanthidae,Filefishes
Monachus monachus,Mediterranean monk seal
Monachus schauinslandi,Hawaiian monk seal
Monodon monoceros,Narwhal
Mora moro,Common mora
Moridae,Codlings
Morone americana,White perch
Morone saxatilis,Striped bass
Mugil,Grey mullets
Mugil cephalus,Flathead mullet
Mugil liza,Liza
Mugil soiuy,So-iuy mullet
Mugilidae,Mullets
Mulinia,Taquilla clams
Mullidae,Goatfishes
Mullus,Western goatfishes
Mullus argentinae,Argentine goatfish
Mullus barbatus,Red mullet
Mullus surmuletus,Striped red mullet
Muraena helena,Mediterranean moray
Muraenesox,Conger eels
Muraenesox cinereus,Daggertooth pike conger
Muraenidae,Moray eels
Muraenolepis,Moray cods
Muraenolepis microps,Smalleye moray cod
Murex,Murex shells
Mustelus,Smooth-hounds
Mustelus asterias,Starry smooth-hound
Mustelus henlei,Brown smooth-hound
Mustelus lenticulatus,Spotted estuary smooth-hound
Mustelus mustelus,Smooth-hound
Mustelus schmitti,Narrownose smooth-hound
Mya arenaria,Sand gaper
Mycteroperca,Cat groupers
Mycteroperca bonaci,Black grouper
Mycteroperca microlepis,Gag
Mycteroperca phenax,Scamp
Mycteroperca venenosa,Yellowfin grouper
Mycteroperca xenarcha,Broomtail grouper
Myctophidae,Lanternfishes
Myliobatidae,Eagle and manta rays
Myliobatis aquila,Common eagle ray
Myoxocephalus,Sculpins
Mytilidae,Sea mussels
Mytilus,Mussels
Mytilus chilensis,Chilean mussel
Mytilus coruscus,Korean mussel
Mytilus edulis,Blue mussel
Mytilus galloprovincialis,Mediterranean mussel
Mytilus planulatus,Australian mussel
Mytilus platensis,River Plata mussel
Myxine glutinosa,Hagfish
Myxinidae,Hagfishes
Necora puber,Velvet swimcrab
Nemadactylus,Porae
Nemadactylus bergi,White morwong
Nemadactylus macropterus,Tarakihi
Nemadactylus monodactylus,St. Pauls fingerfin
Nematopalaemon schmitti,Whitebelly prawn
Nemipteridae,Threadfin breams, Whiptail breams
Nemipterus,Threadfin breams
Nemipterus japonicus,Japanese threadfin bream
Nemipterus virgatus,Golden threadfin bream
Neopagetopsis ionah,Bible icefish
Neophoca cinerea,Australian sea lion
Neophocoena phocaenoides,Finless porpoise
Nephrops norvegicus,Norway lobster
Nezumia aequalis,Common Atlantic grenadier
Nibea mitsukurii,Nibe croaker
Normanichthys crockeri,Normans camote
Notorynchus cepedianus,Broadnose sevengill shark
Notoscopelus,Lampfish
Notothenia coriiceps,Yellowbelly rockcod
Notothenia rossii,Marbled rockcod
