550561,Anarhichas,denticulatus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,denticulatus,NWOLF,Northern wolffish,,NULL,NULL
171342,Anarhichas minor,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,minor,SPWOLF,Spotted wolffish,,NULL,NULL
171341,Anarhichas lupus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus,STRWOLF,Striped wolffish,,NULL,NULL
167123,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,SABLEF,Sablefish,,NULL,NULL
172750,Scophthalmus maeoticus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,maeoticus,TURBOT,Black Sea turbot,,NULL,NULL
168598,Trachurus capensis,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,capensis,CTRAC,Cape horse mackerel,,NULL,NULL
168590,Trachurus mediterraneus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,mediterraneus,MTRAC,Mediterranean horse mackerel,,NULL,NULL
168586,Trachurus symmetricus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,symmetricus,STRAC,Pacific jack mackerel,South Pacific horse mackerel,NULL,NULL
168588,Trachurus trachurus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,TRAC,Horse mackerel,Atlantic horse mackerel,NULL,NULL
642743,Champsocephalus gunnari,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Champsocephalus,gunnari,CGUN,Mackerel icefish,,NULL,NULL
642960,Pseudochaenichthys georgianus,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Pseudochaenichthys,georgianus,PSGEOR,South Georgia icefish,,NULL,NULL
161703,Alosa aestivalis,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,aestivalis,ALOSA,Blueback shad,Blueback herring,NULL,NULL
551288,Alosa kessleri,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,kessleri,ALOSK,Caspian anadromous shad,Black sea shad,NULL,NULL
161732,Brevoortia tyrannus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,tyrannus,MENAT,Atlantic menhaden,,NULL,NULL
161734,Brevoortia patronus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,patronus,MENGF,Gulf menhaden,,NULL,NULL
161722,Clupea harengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,HERR,Herring,,NULL,NULL
551209,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,PHERR,Pacific herring,,NULL,NULL
161813,Sardina pilchardus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,SARDP,European pilchard,Spanish sardine,NULL,NULL
572698,Sardinella janeiro,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,janeiro,SARDJ,Brazilian sardinella,Brazilian sardine,NULL,NULL
161729,Sardinops sagax,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,SARD,Sardine,,NULL,NULL
161789,Sprattus sprattus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,sprattus,SPRAT,Sprat,,NULL,NULL
692068,Scorpaenichthys marmoratus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus,CABEZ,Cabezon,,NULL,NULL
551435,Coilia dussumieri,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Coilia,dussumieri,GANCHO,Goldspotted grenadier anchovy,,NULL,NULL
161831,Engraulis encrasicolus,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,ANCHO,Anchovy,European anchovy,NULL,NULL
161828,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,NANCHO,Northern anchovy,Californian anchovy,NULL,NULL
551340,Engraulis ringens,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,ringens,PEANCHO,Peruvian anchoveta,Anchoveta,NULL,NULL
164712,Gadus morhua,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,COD,Atlantic cod,,NULL,NULL
164711,Gadus macrocephalus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,macrocephalus,PCOD,Pacific cod,,NULL,NULL
164744,Melanogrammus aeglefinus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,HAD,Haddock,,NULL,NULL
164758,Merlangius merlangus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,WHIT,Whiting,,NULL,NULL
164774,Micromesistius poutassou,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,poutassou,BWHIT,Blue whiting,,NULL,NULL
164775,Micromesistius australis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,australis,SBWHIT,Southern blue whiting,,NULL,NULL
164727,Pollachius virens,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,POLL,Pollock,Saithe,NULL,NULL
164722,Theragra chalcogramma,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Theragra,chalcogramma,WPOLL,Walleye pollock,,NULL,NULL
164756,Trisopterus esmarkii,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,esmarkii,NPOUT,Norway Pout,,NULL,NULL
167120,Pleurogrammus monopterygius,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Pleurogrammus,monopterygius,ATKA,Atka mackerel,,NULL,NULL
