# DR, 2008-02-12, adding as much of this as possible to srdb.stock

 ALEWMICH , Freshwater alewife , Lake Michigan 
 ANCHOBAYB , Anchovy , Bay of Biscay 
 ANCHOYELLOW , Japanese anchovy , Yellow Sea 
 AYUBIWA , Ayu ," Lake Biwa, Japan "
 BDUCK , Bombay duck , Northwest coast of India 
 BMONK , Black anglerfish ," ICES VIIb-k and VIIIa,b. "
 BWHIT , Blue whiting , ICES 

 CHUMMIN , Chum salmon ," Minter Creek, Washington "  # added to srdb.stock

 COD1 , Cod , West Greenland (NAFO 1)  # added to srdb.stock
 COD2J3KL , Cod , NAFO 2J3KL  # added to srdb.stock
 COD3M , Cod , NAFO 3M  # added to srdb.stock
 COD3MVPA , Cod , NAFO 3M  # added to srdb.stock
 COD3Pn4RS , Cod , NAFO 3Pn4RS  # added to srdb.stock
 COD4X , Cod , NAFO 4X  # added to srdb.stock
 COD5Y , Cod , NAFO 5Y  # added to srdb.stock
 COD5Z , Cod , NAFO 5Z  # added to srdb.stock
 CODBA2532 , Cod , Baltic Areas 25-32  # added to srdb.stock

 CODCS , Cod , Celtic Sea
 CODICE , Cod , Iceland
 CODICE2 , Cod , Iceland	
 CODIS , Cod , Irish Sea 
 CODNEAR2 , Cod , North East Arctic 
 CODNEARwCan , Cod , North East Arctic 
 CODNS , Cod , North Sea 
 CODVIa , Cod , ICES VIa  # added to srdb.stock


 COHOMIN , Coho salmon ," Minter Creek, Washington "  # added to srdb.stock
 COHOSHAL , Coho salmon ," Shale Creek, Washington "  # added to srdb.stock
 COHOSKY , Coho salmon ," South Fork Skykomish River, Washington "  # added to srdb.stock
 COHOSNAH , Coho salmon ," Snahapish Creek, Washington "  # added to srdb.stock
 COHOSNOW , Coho salmon ," Snow Creek, Washington "  # added to srdb.stock
 COHOSPRI , Coho salmon ," Spring Creek, Oregon "  # added to srdb.stock
 COHOTAYU , Coho salmon ," Little Tayuha Creek, Washington "  # added to srdb.stock
 COHOWILD , Coho salmon ," Wildcat Creek, Washington "  # added to srdb.stock

 CRAPPIEATKINS , Crappie ," Atkins Reservoir, Arkansas "
 CRAPPIENIMROD , Crappie ," Nimrod Reservoir, Arkansas "
 CRAPPIEOKA , Crappie ," Okatibbee Reservoir, Mississippi "
 CRAPPIEROSS , Crappie ," Ross Barnett Reservoir, Mississippi "

 CROCKCOL , Canary rockfish , W. U.S.(Columbia region) 

 DABBELT , Common dab , Belt Sea 

 DACEEDEN , Dace ," River Eden, southeast England "
 DACERFRO , Dace ," River Frome, Dorset, England "

 DRUMERIEW , Freshwater drum , Western Lake Erie 

 EPERCHIJS , Eurasian perch ," Lake Ijssel, the Netherlands "
 EPERCHKYRON , Eurasian perch , River Kyronjoki 
 EPERCHLCON , Eurasian perch , Lake Constance 
 EPERCHWIND , Eurasian perch , Windermere 

 ESOLEHSTR , English sole , Hecate Strait 

 FLATHFLOKAM , Flathead flounder , West Kamchatka Shelf 

 FLOUNDERBALTIC , Flounder , Baltic Areas 24 and 25 

 FOURSPOTMEG , Four Spot Megrim , ICES VIIIc and IXa 

 FSCADSEN , False scad , N.W. Africa (CECAF 34.1.3-34.3.1) 

 GHALEBS , Greenland halibut , E. Bering Sea and Aleutian Islands 
 GHALNAFO23 , Greenland halibut ," Northwest Atlantiac, NAFO 2 and 3LMNOM "
 GHALNEAR , Greenland halibut , North East Arctic 
 GHALNWATL , Greenland halibut , Northwest Atlantic 
 GHALV\_XIV , Greenland halibut , ICES V and XIV 

 GMULTAI , Grey mullet , Taiwan 

 GOBISGEORGIA , Gobionotothen gibberifrons ," South Georgia, Antarctic Ocean "

 GOLDANCH , Gold-spotted grenadier anchovy , Northwest coast of India 

 GSHIGEO , Golden shiner ," Lake St. George, Ontario "

 GSTURGDANUBE , Great sturgeon , Danube river 

 GUDGRFRO , Gudgeon ," River Frome, Dorset, England "

 HAD3NO1 , Haddock , NAFO 3NO1 (First part of HAD3NO) 
 HAD3NO2 , Haddock , NAFO 3NO2 (Second part of HAD3NO) 
 HAD3Ps1 , Haddock , NAFO 3Ps1 (First part of HAD3Ps) 
