\noindent For the following stocks, only a \verb|.doc| file was found:
CHAENOSGEORGIA,
SPOTSTROUTFLNW,
COHOFLYN,
SNOOKFLATLANTIC,
COHODEERFRY,
SNOOKFLGULF,
WHFSHPETCHORA,
SEELNS,

\noindent For the following stocks, only a \verb|.dat| file was found:
CHNKBLOSSOM,
WHSHERR,
COHOHUNTFRY,
COD4Vs,
HHERRHOKA,
 HERR25-2932GOR2 , Herring , Baltic areas 25-29 32 plus Gulf of Riga 
 HERR282932 , Herring , Baltic areas 282932 
 HERR2829s , Herring , Baltic areas 28 and 29S 
 HERR30 , Herring , Baltic area 30 
 HERR302 , Herring , Baltic area 30 
 HERR4-5 , Herring , NAFO 4-5 
 HERR4Rfa , Herring , NAFO 4R (Fall spawners) 
 HERR4Rsp , Herring , NAFO 4R (Spring spawners) 
 HERR4Tfa , Herring , NAFO 4T (Fall spawners) 
 HERR4Tsp , Herring , NAFO 4T (Spring spawners) 
 HERR4WX , Herring , NAFO 4WX 
 HERRAB , Herring , Newfoundland(AB) 
 HERRARBO , Herring , Archipelago and Bothnian Seas 
 HERRBOTB , Herring , Bothnian Bay 
 HERRBOTB2 , Herring , Bothnian Bay 
 HERRCC , Herring , Central Coast B.C. 
 HERRCD , Herring , Newfoundland(CD) 
 HERRCRAIG , Herring , Craig Alaska 
 HERRCS , Herring , Celtic Sea and VIIj 
 HERRDOWN , Herring , Downs stock 
 HERRDVI , Herring , Gulf of Dvina White Sea 
 HERREBER , Herring , Eastern Bering Sea 
 HERREF , Herring , Newfoundland(EF) 
 HERRGB , Herring , Georges Bank 
 HERRGB2 , Herring , Georges Bank 
 HERRGFIN , Herring , Gulf of Finland 
 HERRGH , Herring , Newfoundland(GH) 
 HERRGM , Herring , Gulf of Maine 
 HERRGOR , Herring , Gulf of Riga 
 HERRGOR2 , Herring , Gulf of Riga 
 HERRHOK , Herring , Hokkaido 
 HERRHOKA , Herring , Hokkaido 
 HERRHOKB , Herring , Hokkaido 
 HERRHOKC , Herring , Hokkaido 
 HERRHOKD , Herring , Hokkaido 
 HERRI , Herring , Newfoundland(I) 
 HERRIspr , Herring , Iceland (Spring spawners) 
 HERRIsum , Herring , Iceland (Summer spawners) 
 HERRKAN , Herring , Gulf of Kandalaksha White Sea 
 HERRNIRS , Herring , Northern Irish Sea 
 HERRNOR , Herring , Norway (Spring spawners) 
 HERRNS , Herring , North Sea 
 HERRNS2 , Herring , North Sea 
 HERRNSG , Herring , North Strait of Georgia 
 HERRNWCVI , Herring , North West Coast Vancouver Island 
 HERRONE , Herring , Gulf of Onega White Sea 
 HERRPRD , Herring , Prince Rupert District 
 HERRQCI , Herring , Queen Charlotte Islands 
 HERRREVC , Herring , Revilla Channel (Kah Shakes) Alaska 
 HERRSCB , Herring , Southern Central Baltic 
 HERRSD30 , Herring , Bothnian Sea (ICES SD30) 
 HERRSD31 , Herring , Bothnian Bay (ICES SD31) 
 HERRSEALA , Herring , S.E. Alaska 
 HERRSEYC , Herring , Seymour Canal Alaska 
 HERRSIT , Herring , Sitka Alaska 
 HERRSSG , Herring , Southern Strait of Georgia 
 HERRSWCVI , Herring , South West Coast Vancouver Island 
 HERRVIa , Herring , ICES VIa (north) 
 HERRVIa2 , Herring , ICES VIa (north) 
 HERRVIaVIIbc , Herring , ICES VIa (south) and VIIbc 
 HERRYS , Herring , Yellow Sea or Huanghai Sea 
 HHERRHOKB , Herring , Hokkaido 
 HRTAILECHINA , Hairtail , East China Sea 
 JONAHCRAB4X , Jonah Crab , NAFO 4X 
 JONAHCRAB5Y , Jonah Crab , NAFO 4Y 
 JONAHCRAB5Z , Jonah Crab , NAFO 5Z 
 KMACKMEX , King mackerel , W. Gulf of Mexico 
 KPRAWNPB , Korai prawn , Po-hai Bay 
 LEPIKERGUELEN , Lepidonotothen , Kerguelen Islands Antarctic Ocean 
 LEPILENABANK , Lepidonotothen , Lena Bank Antarctic Ocean 
 LEPIOBBANK , Lepidonotothen , Ob Bank Antarctic Ocean 
 LIZECHINA , Greater lizardfish , East China Sea 
 LMOUTHBASSBULL , Largemouth bass , Bull Shoals Reservoir Arkansas 
 LMOUTHBASSEUFAULA , Largemouth bass , Lake Eufaula Oklahoma 
 LMOUTHBASSEUFAULA2 , Largemouth bass , Lake Eufaula Oklahoma 
 LMOUTHBASSKERR , Largemouth bass , Kerr Reservoir Virginia 
 LMOUTHBASSSMITH , Largemouth bass , Smith Mountain Lake Virginia 
 LONGHDABKAM , Longhead dab , West Kamchatka Shelf 
 LTROLSUP , Lake trout , Gull Island Lake Superior 
 LTROOPEO , Lake trout , Lake Opeongo Ontario 
 LWHFSHGEORGIANBAY , Lake Whitefish , South Georgian Bay Lake Huron 
 LWHFSHHUR , Lake Whitefish , Lake Huron 
 LWHFSHTB , Lake Whitefish , Thunder Bay Lake Superior 
 LWHFSHWB , Lake Whitefish , Whitefish Bay Lake Superior 
 MACK2-6 , Mackerel , NAFO 2 to 6 
 MACKBLACK , Mackerel , Black Sea 
 MACKHBLACK , Mediterranean horse mackerel , Black Sea 
 MACKHSICES , Horse mackerel , Southern ICES 
 MACKHWS , Horse mackerel , Western ICES 
 MACKNEICES , Mackerel , North East ICES 
 MACKSEN , Horse mackerel , N.W. Africa (CECAF 34.1.3-34.3.1) 
 MACKSPO , S. pacific horse mackerel , South Pacific Ocean 
 MACKVIIIcIXa , Horse mackerel , Southern ICES 
 MACKWS , Mackerel , Western ICES 
 MASKINOGIES , Maskinonge , Nogies Creek Sanctuary Ontario 
 MEG7-8 , Megrim , ICES VII and VIII 
 MEG7-8ab , Megrim , ICES VII and VIIIab 
 MEG78 , Megrim , ICES VII and VIII 
 MEG8c9a , Megrim , ICES VIIIc and IXa 
 MENATLAN , Atlantic Menhaden , U.S. Atlantic 
 MENGULF , Gulf Menhaden , Gulf of Mexico 
 MONK78 , Monkfish , ICES VIIb-k and VIIIab. 
 MONK78ab , Monkfish , ICES VII and VIIIab. 
 NOTOKERGUELEN , Notothenia rossii , Kerguelen Islands Antarctic Ocean 
 NOTOSGEORGIA , Notothenia rossii , South Georgia Antarctic Ocean 
 NOTOSORKNEY , Notothenia rossii , South Orkney Islands Antarctic Ocean 
 NPOUTNS , Norway pout , North Sea 
 NSTONECRAB4X , Northern Stone Crab , NAFO 4X 
 NSTONECRAB5Y , Northern Stone Crab , NAFO 5Y 
 NSTONECRAB5Z , Northern Stone Crab , NAFO 5Z 
 NZSNAPAREA8 , New Zealand snapper , New Zeeland SNA 8 
 NZSNAPPLENTY , New Zealand snapper , Hauraki Gulf/Bay of Plenty 
 PAHEADHAN , Pelagic armourhead , Southeast Hancock Seamount Hawaii 
 PANCHNCS , Peruvian anchoveta , Northern/Central Stock Peru 
 PANCHNCS2 , Peruvian anchoveta , Peru 
 PANDAL0A , Northern shrimp , Baffin Bay (Div. 0A + subarea 1) 
 PANDAL0B , Northern shrimp , Davis Strait (Div. 0B) 
 PANDAL2G , Northern shrimp , Northern Labrador (Div. 2G) 
 PANDAL3M , Northern shrimp , Flemish Cap 
 PANDAL3M2 , Northern shrimp , Flemish Cap 
 PANDALBS , Northern shrimp , Svalbard and Barents Sea 
 PANDALESS , Northern shrimp , Eastern Scotian Shelf 
 PANDALFC , Northern shrimp , Flemish Cap 
 PANDALH3K , Northern shrimp , Hawke Channel + Division 3K 
 PANDALHC , Northern shrimp , Hopedale and Cartwright Channels (SFA 5) 
 PANDALICE , Northern shrimp , Iceland 
 PANDALNGSTL , Northern shrimp , Northern Gulf of St. Lawrence 
 PANDALNSEA , Northern shrimp , Skagerrak 
