"category","subcategory","bioshort","biolong","biounitsshort","biounitslong","biounique"
"OTHER BIOMETRICS","LIFE HISTORY","MAT-SLOPE","Slope of maturity function","dimless","dimensionless","MAT-SLOPE-dimless"
"OTHER BIOMETRICS","LIFE HISTORY","LW-b","Power in length-weight relationship","dimless","dimensionless","LW-b-dimless"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","BH-h","Beverton-Holt steepness","dimless","recruitment units per spawner units (dimensionless if recruits and spawners are in the same units)","BH-h-dimless"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","BF40%","Total biomass at F40%","MT","metric tons","BF40%-MT"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","U40%","harvest rate that reduces B to B40%","ratio","ratio","U40%-ratio"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","F0.1","the fishing mortality rate at which the increase in yield per recruit in weight for an increase in a unit of effort is only 10 percent of the yield per recruit produced by the first unit of effort on the unexploited stock","1/T","per unit time","F0.1-1/T"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","Fmax","the rate of fishing mortality for a given exploitation pattern rate of growth and natural mortality, that results in the maximum level of yield per recruit","1/T","per unit time","Fmax-1/T"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","SSBmsy","Spawning Stock Biomass at MSY","E03eggs","thousands of eggs","SSBmsy-E03eggs"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","SSB0","Pre-exploitation spawning biomass","E03eggs","thousands of eggs","SSB0-E03eggs"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","SSBtarget","Target spawning biomass level (SSB40%)","E03eggs","thousands of eggs","SSBtarget-E03eggs"
"OTHER BIOMETRICS","REFERENCE POINTS ETC.","B0","Pre-exploitation total biomass","MT","metric tons","B0-MT"
"OTHER BIOMETRICS","LIFE HISTORY","VB-k","k parameter in Von Bertalanffy growth function","cm/yr","centimeters per year","VB-k-cm/yr"
"OTHER BIOMETRICS","LIFE HISTORY","VB-k","k parameter in Von Bertalanffy growth function","1/T","per unit time","VB-k-1/T"
"TIME SERIES DATA DESCRIPTORS","SPAWNERS","SSB-AGE","Age of spawners (e.g. 3+)","yr","years","SSB-AGE-yr"
"TIME SERIES DATA DESCRIPTORS","SPAWNERS","SSB-SEX","Sex of spawners: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","SSB-SEX-sex"
"TIME SERIES DATA DESCRIPTORS","RECRUITS","REC-AGE","Age of recruits (note: offset in the time series by their age as in Myers SR database)","yr","years","REC-AGE-yr"
"TIME SERIES DATA DESCRIPTORS","RECRUITS","REC-ESTIMATED","Enter the year range for which R was estimated from the data (rather than being dominantly driven by the assumed underlying S-R relationship)","yr-yr","years","REC-ESTIMATED-yr-yr"
"TIME SERIES DATA DESCRIPTORS","FISHING MORTALITY","F-AGE","Ages used to compute fishing mortality","yr-yr","range of years","F-AGE-yr-yr"
"TIME SERIES DATA DESCRIPTORS","FISHING MORTALITY","F-SEX","Sex used for F calculation: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","F-SEX-sex"
"TIME SERIES DATA DESCRIPTORS","FISHING MORTALITY","F-CALC","Fishing mortality calculation: 0=weighted by weights-at-age; 1=weighted by numbers-at-age; 2=unweighted","0-1-2","0=weighted by weights-at-age; 1=weighted by numbers-at-age; 2=unweighted","F-CALC-0-1-2"
