"assessid","LME","common_name","Bratio-for-Fig3B","Uratio-for-Fig3B","Both_from_Assessments"
"ICCAT-ALBANATL-1930-2006-WORM","Atlantic High Seas","Albacore tuna",0.81,1.49,1
"ICCAT-ATBTUNAEATL-1955-2007-WORM","Atlantic High Seas","Atlantic bluefin tuna",0.34,9.38,1
"WGBFAS-HERR2532-1973-2006-JENNINGS","Baltic Sea","Herring",0.69,0.79,0
"WGBFAS-HERRRIGA-1976-2007-JENNINGS","Baltic Sea","Herring",1.21,0.87,0
"WGBFAS-HERR30-1972-2007-JENNINGS","Baltic Sea","Herring",1.19,1.1,0
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS","Baltic Sea","Sprat",1.13,1.27,0
"WGBFAS-CODBA2224-1969-2007-JENNINGS","Baltic Sea","Atlantic cod",0.36,1.43,0
"WGBFAS-CODBA2532-1964-2007-JENNINGS","Baltic Sea","Atlantic cod",0.16,1.46,0
"WGBFAS-HERR31-1979-2006-JENNINGS","Baltic Sea","Herring",0.29,1.6,0
"AFWG-CAPENOR-1964-2006-MINTO","Barents Sea","Capelin",0.17,0,0
"AFWG-POLLNEAR-1957-2006-MINTO","Barents Sea","Pollock",1.7,0.6,0
"AFWG-HADNEAR-1947-2006-MINTO","Barents Sea","Haddock",1.1,1.06,0
"AFWG-GHALNEAR-1959-2007-JENNINGS","Barents Sea","Greenland halibut",0.36,1.2,0
"AFWG-CODNEAR-1943-2006-MINTO","Barents Sea","Atlantic cod",0.56,1.42,0
"MARAM-ANCHOSA-1984-2006-deMoor","Benguela Current","Anchovy",0.97,0.36,0
"MARAM-SARDSA-1984-2006-deMoor","Benguela Current","Sardine",0.75,0.55,0
"MARAM-CTRACSA-1950-2007-Johnston","Benguela Current","Cape horse mackerel",1.47,0.76,0
"MARAM-SSLOBSTERSASC-1973-2008-Johnston","Benguela Current","Southern spiny lobster",0.51,1.5,0
"NWFSC-CROCKPCOAST-1916-2007-BRANCH","California Current","Canary rockfish",0.82,0.02,1
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","California Current","Chilipepper",2.77,0.04,1
"NWFSC-WROCKPCOAST-1955-2006-BRANCH","California Current","Widow rockfish",0.91,0.05,0
"NWFSC-COWCODSCAL-1900-2007-BRANCH","California Current","Cowcod",0.2,0.07,1
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH","California Current","English sole",10.71,0.07,1
"NWFSC-BOCACCSPCOAST-1951-2006-BRANCH","California Current","Bocaccio",0.32,0.1,0
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","California Current","Arrowtooth flounder",5.02,0.21,1
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH","California Current","Darkblotched rockfish",0.62,0.31,0
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","California Current","Black rockfish",1.49,0.33,0
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","California Current","Black rockfish",1.37,0.47,0
"NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH","California Current","Yelloweye rockfish",1.11,0.65,1
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH","California Current","Sablefish",2.13,0.69,1
"NWFSC-PHAKEPCOAST-1966-2008-BRANCH","California Current","Pacific hake",3.66,0.73,1
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","California Current","Longnose skate",27.12,0.8,1
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","California Current","Blue rockfish",0.82,1.19,0
"WGNSDS-PLAICIS-1962-2006-MINTO","Celtic-Biscay Shelf","European Plaice",1.07,0.23,0
"WGNSDS-CODVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Atlantic cod",0.12,0.23,0
"HAWG-HERRNIRS-1960-2006-JENNINGS","Celtic-Biscay Shelf","Herring",0.72,0.34,0
"WGSSDS-PLAICCELT-1976-2006-JENNINGS","Celtic-Biscay Shelf","European Plaice",0.65,0.41,0
"WGNSDS-HADVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Haddock",0.67,0.5,0
