"country"," mgmt"," areacode"," areaname"," alternateareaname"
"Argentina","CFP","ARG-S","Southern Argentina",""
"Argentina","CFP","ARG-N","Northern Argentina",""
"Australia","AFMA","CASCADE","Cascade Plateau",
"Australia","AFMA","GAB","Great Australian Bight",
"Australia","AFMA","NAUST","Northern Australia",
"Australia","AFMA","SE","Southeast Australia",
"Australia","AFMA","W","West Australia",
"Australia","AFMA","TAS","Tasmania",
"Canada","DFO","2J3KLNOPs","Labrador Shelf-Grand Banks-S. Pierre Bank",
"Canada","DFO","2J3KL","Southern Labrador-Eastern Newfoundland",
"Canada","DFO","3Pn4RS","Northern Gulf of St. Lawrence",
"Canada","DFO","3Ps","St. Pierre Bank",
"Canada","DFO","23K","Labrador - NE Newfoundland",
"Canada","DFO","4R","NAFO 4R",
"Canada","DFO","4T","Southern Gulf of St. Lawrence",
"Canada","DFO","4RST","Gulf of St. Lawrence",
"Canada","DFO","4TVn","Southern Gulf of St. Lawrence and Cabot Strait",
"Canada","DFO","4Vn","Cabot Strait",
"Canada","DFO","4VsW","Eastern Scotian Shelf",
"Canada","DFO","4VWX","Scotian Shelf and Bay of Fundy",
"Canada","DFO","4VWX5","Scotian Shelf, Bay of Fundy and Georges Bank",
"Canada","DFO","4VWX5Zc","Scotian Shelf, Bay of Fundy and Georges Bank",
"Canada","DFO","4X","Western Scotian Shelf",
"Canada","DFO","4X5Y","Western Scotian Shelf, Bay of Fundy and Gulf of Maine",
"Canada","DFO","3Pn4RSTVn","Gulf of St. Lawrence and Cabot Strait",
"Canada","DFO","5Zejm","Georges Bank",
"Canada","DFO","5Zjm","Georges Bank",
"Canada","DFO","CC","Central Coast",
"Canada","DFO","HS","Hecate Strait",
"Canada","DFO","PRD","Prince Rupert District",
"Canada","DFO","QCI","Queen Charlotte Islands",
"Canada","DFO","SOG","Straight of Georgia",
"Canada","DFO","WCVANI","West Coast of Vancouver Island",
"Canada","DFO","ATL","Canadian Atlantic Ocean",
"multinational","GFCMED","BLACKW","Western Black Sea",
"multinational","IATTC","EPAC","Eastern Pacific",
"multinational","IATTC","NEPAC","Northeast Pacific",
"multinational","ICCAT","MED","Mediterranean Sea",
"multinational","ICCAT","WATL","Western Atlantic",
"multinational","ICCAT","EATL","Eastern Atlantic",
"multinational","ICCAT","NATL","Northern Atlantic",
"multinational","ICES",28,"Gulf of RigaEast of Gotland",
"multinational","ICES",29,"Archipelago Sea",
"multinational","ICES",30,"Bothnian Sea",
"multinational","ICES",31,"Bothnian Bay",
"multinational","ICES",32,"Gulf of Finland",
"multinational","ICES","22-24","Western Baltic",
"multinational","ICES","22-24-IIIa","22-24-IIIa",
"multinational","ICES","22-32","Baltic Areas 22-32",
"multinational","ICES","25-32","Eastern Baltic",
"multinational","ICES","I","Barents Sea",
"multinational","ICES","I-II","North-East Arctic",
"multinational","ICES","I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Northeast Atlantic","I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV"
"multinational","ICES","II-IIIa-IV-VI-VII-VIIIabc","II-IIIa-IV-VI-VII-VIIIabc",
"multinational","ICES","IIa","Norwegian Sea",
"multinational","ICES","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa",
"multinational","ICES","IIb","Spitzbergen and Bear Island",
"multinational","ICES","IIIa","Kattegat and Skagerrak","Skagerrak"
"multinational","ICES","IIIa-IV","IIIa and North Sea",
"multinational","ICES","IIIa-IV-VI","IIIa, VI and North Sea",
"multinational","ICES","IIIa-IV-VIId","IIIa, VIId and North Sea",
"multinational","ICES","IIIb(23)","Sound Sea",
"multinational","ICES","IIIc(22)","Belt Sea",
"multinational","ICES","IIId","Baltic Sea",
"multinational","ICES","IV","North Sea",
"multinational","ICES","IVa","Northern North Sea",
"multinational","ICES","IVb","Central North Sea",
"multinational","ICES","IVc","Southern North Sea",
"multinational","ICES","IXa","Portugese Waters -East",
"multinational","ICES","IXb","Portugese Waters -West",
"multinational","ICES","Va","Iceland Grounds",
"multinational","ICES","Vb","Faroe Grounds",
"multinational","ICES","Vb1","Faroe Plateau",
"multinational","ICES","Vb2","Faroe Bank",
"multinational","ICES","VIa","West of Scotland","Clyde herring"
"multinational","ICES","VIa-VIIb-VIIc","VIa, VIIb and VIIc",
"multinational","ICES","VIb","Rockall Bank",
"multinational","ICES","VIIa","Irish Sea",
"multinational","ICES","VIIb","West of Ireland",
"multinational","ICES","VIIb-k","ICES VIIb-k",
"multinational","ICES","VIIc","Porcupine Bank",
"multinational","ICES","VIId","Eastern English Channel",
"multinational","ICES","VIIe","Western English Channel",
"multinational","ICES","VIIe-k","Celtic Sea",
"multinational","ICES","VIIf","Bristol Channel",
"multinational","ICES","VIIf-g","Celtic Sea",
"multinational","ICES","VIIg","Celtic Sea North",
"multinational","ICES","VIIh","Celtic Sea South",
"multinational","ICES","VIII","Bay of Biscay",
"multinational","ICES","VIIIa","Bay of Biscay -North",
"multinational","ICES","VIIIb","Bay of Biscay -Central",
"multinational","ICES","VIIIc","Bay of Biscay -South",
"multinational","ICES","VIIIc-IXa","VIIIc-IXa",
"multinational","ICES","VIIId","Bay of Biscay -Offshore",
"multinational","ICES","VIIIe","West of Bay of Biscay",
"multinational","ICES","VIIj","Southwest of Ireland -East",
"multinational","ICES","VIIk","Southwest of Ireland -West",
"multinational","ICES","X","Azores Grounds",
"multinational","ICES","XII","North of Azores",
"multinational","ICES","XIVa","Northeast Greenland",
"multinational","ICES","XIVb","Southeast Greenland",
"multinational","NAFO","01ABCDEF","NAFO 01ABCDEF",
"multinational","NAFO","1","West Greenland",
"multinational","NAFO","23K","Labrador - NE Newfoundland",
"multinational","NAFO","23KLMNO","Labrador Shelf - Grand Banks",
"multinational","NAFO","3L","N Grand Banks",
"multinational","NAFO","3LN","N and SW Grand Banks",
"multinational","NAFO","3LNO","Grand Banks",
"multinational","NAFO","3M","Flemish Cap",
"multinational","NAFO","3NO","Southern Grand Banks",
"multinational","NAFO","3O","SW Grand Banks",
"multinational","SPC","WPO","Western Pacific Ocean",
"multinational","WCPFC","SPAC","South Pacific Ocean",
"New Zealand","MFish","NZ","New Zealand",
"New Zealand","MFish","ENZ","Eastern New Zealand",
"New Zealand","MFish","WNZ","Western New Zealand",
